epochs,accuracy,loss,lr,val_accuracy,val_accuracy,val_loss
0,0.114804685115814,4.83227729797363,0.00012134016,0.109600000083446,0.109600000083446,4.87907648086547
1,0.119882814586162,4.77795505523681,0.00014268032,0.117299996316432,0.117299996316432,4.81314420700073
2,0.12292968481779,4.73192358016967,0.00016402049,0.111349999904632,0.111349999904632,4.82010555267333
3,0.125859379768371,4.67402791976928,0.00018536065,0.110100001096725,0.110100001096725,4.88512706756591
4,0.129999995231628,4.65010023117065,0.00020670082,0.118649996817111,0.118649996817111,4.7994327545166
5,0.136445313692092,4.60551452636718,0.00022804097,0.129099994897842,0.129099994897842,4.69955921173095
6,0.139882817864418,4.54329204559326,0.00024938115,0.121749997138977,0.121749997138977,4.74578237533569
7,0.144726559519767,4.50586128234863,0.0002707213,0.104149997234344,0.104149997234344,4.89259672164916
8,0.148789063096046,4.46240425109863,0.00029206145,0.103200003504753,0.103200003504753,4.94859933853149
9,0.152109369635581,4.42534065246582,0.00031340163,0.128199994564056,0.128199994564056,4.64114522933959
10,0.157929688692092,4.38985633850097,0.00033474178,0.132499992847442,0.132499992847442,4.59453344345092
11,0.15718750655651,4.37026929855346,0.00035608196,0.120350003242492,0.120350003242492,4.76399755477905
12,0.167617186903953,4.31595039367675,0.0003774221,0.127450004220008,0.127450004220008,4.7242636680603
13,0.16695313155651,4.31455707550048,0.00039876226,0.131950005888938,0.131950005888938,4.64611196517944
14,0.172304689884185,4.27758312225341,0.00042010244,0.128649994730949,0.128649994730949,4.82258558273315
15,0.173710942268371,4.26113080978393,0.0004414426,0.131750002503395,0.131750002503395,4.62651968002319
16,0.176210939884185,4.24218702316284,0.00046278274,0.132400006055831,0.132400006055831,4.62202167510986
17,0.179843753576278,4.23012924194335,0.00048412292,0.124549999833107,0.124549999833107,4.74044942855834
18,0.183984369039535,4.18326425552368,0.0005054631,0.11770000308752,0.11770000308752,4.84321165084838
19,0.189570307731628,4.18180704116821,0.00052680325,0.136399999260902,0.136399999260902,4.7116847038269
20,0.191171869635581,4.16320610046386,0.0005481434,0.15320000052452,0.15320000052452,4.52588462829589
21,0.19917969405651,4.14630365371704,0.00056948356,0.116200000047683,0.116200000047683,4.8411202430725
22,0.199335932731628,4.14061880111694,0.0005908237,0.166700005531311,0.166700005531311,4.40157556533813
23,0.204335942864418,4.13442277908325,0.0005878361,0.162949994206428,0.162949994206428,4.48466253280639
24,0.204414069652557,4.0949068069458,0.00056649593,0.147349998354911,0.147349998354911,4.57434558868408
