epochs,accuracy,loss,lr,val_accuracy,val_loss
0,0.0637,4.7436,0.001,0.0097,5.6997
1,0.1113,4.3448,0.001,0.0286,5.2052
2,0.1464,4.1007,0.001,0.0898,4.4308
3,0.1732,3.9054,0.001,0.1256,4.1942
4,0.2036,3.732,0.001,0.1548,3.9762
5,0.2261,3.581,0.001,0.137,4.1371
6,0.2482,3.4509,0.001,0.1461,4.0484
7,0.2669,3.3319,0.001,0.1834,3.7913
