epochs,accuracy,loss,,val_accuracy,val_loss
0,0.2752,3.4248,0.001,0.1708,3.8398
1,0.2971,3.2477,0.001,0.2228,3.494
2,0.3204,3.1201,0.001,0.2211,3.5342
3,0.3362,3.0076,0.001,0.2409,3.4691
4,0.3473,2.9203,0.001,0.239,3.4291
5,0.3595,2.8368,0.001,0.2229,3.541
6,0.381,2.7332,0.001,0.3062,3.0715
7,0.3993,2.6308,0.001,0.283,3.1793
8,0.4248,2.5248,0.001,0.2891,3.1515
9,0.4301,2.4728,0.001,0.3006,3.0599
10,0.4468,2.398,0.001,0.3095,3.0493
11,0.4645,2.3094,0.001,0.3559,2.8237
12,0.4743,2.2559,0.001,0.3556,2.8002
13,0.4962,2.1622,0.001,0.3542,2.8134
14,0.5064,2.1077,0.001,0.3692,2.7081
