epochs,accuracy,loss,lr,val_accuracy,val_accuracy,val_loss
0,0.428410470485687,2.85927319526672,0.00013329065,0.364800006151199,0.364800006151199,3.2145881652832
1,0.433193117380142,2.83435606956481,0.0001665813,0.363200008869171,0.363200008869171,3.22419834136962
2,0.429712533950805,2.85238623619079,0.00019987195,0.347999989986419,0.347999989986419,3.33521175384521
3,0.417618185281753,2.89309883117675,0.00023316262,0.300749987363815,0.300749987363815,3.60355830192565
4,0.404897838830947,2.96334981918334,0.00026645325,0.325749993324279,0.325749993324279,3.42524909973144
5,0.402769416570663,2.98883318901062,0.00029974393,0.309049993753433,0.309049993753433,3.56562972068786
6,0.39640924334526,3.03756308555603,0.00033303458,0.239950001239776,0.239950001239776,4.14785861968994
7,0.388371407985687,3.09047865867614,0.00036632523,0.269149988889694,0.269149988889694,3.88718438148498
8,0.38216146826744,3.12543964385986,0.00039961588,0.26919999718666,0.26919999718666,3.91160535812377
9,0.375701129436492,3.16719985008239,0.00043290653,0.270749986171722,0.270749986171722,3.88181209564208
10,0.37101861834526,3.21501755714416,0.00046619718,0.275050014257431,0.275050014257431,3.82600665092468
11,0.365459740161895,3.26199412345886,0.00049948785,0.279749989509582,0.279749989509582,3.8251450061798
12,0.366436302661895,3.27804064750671,0.0005327785,0.243650004267692,0.243650004267692,4.09598970413208
13,0.357071310281753,3.34910202026367,0.00056606915,0.251549988985061,0.251549988985061,3.9954969882965
14,0.355493783950805,3.36727476119995,0.0005993598,0.256300002336502,0.256300002336502,3.96121025085449
15,0.357572108507156,3.3816430568695,0.00056734955,0.259550005197525,0.259550005197525,4.02612209320068
16,0.361378192901611,3.35623407363891,0.0005340589,0.239849999547004,0.239849999547004,4.15204620361328
17,0.373122006654739,3.31252932548522,0.00050076825,0.263900011777877,0.263900011777877,4.05191087722778
18,0.380809307098388,3.26604771614074,0.0004674776,0.263049989938735,0.263049989938735,4.01895523071289
19,0.383663862943649,3.2370102405548,0.00043418695,0.282200008630752,0.282200008630752,3.90931248664855
