epochs,accuracy,loss,lr,val_accuracy,val_accuracy,val_loss
0,0.217578127980232,4.03862333297729,0.0005451558,0.166899994015693,0.166899994015693,4.40265655517578
1,0.219062507152557,4.02619743347167,0.00052381563,0.177699998021125,0.177699998021125,4.30105400085449
2,0.226992189884185,3.97218298912048,0.0005024755,0.177349999547004,0.177349999547004,4.35210847854614
3,0.232929691672325,3.92369389533996,0.0004811353,0.185650005936622,0.185650005936622,4.27568435668945
4,0.244570314884185,3.87523770332336,0.00045979515,0.200800001621246,0.200800001621246,4.14952945709228
5,0.249726563692092,3.84200096130371,0.00043845497,0.202350005507469,0.202350005507469,4.18674087524414
6,0.254843741655349,3.80340719223022,0.00041711482,0.189449995756149,0.189449995756149,4.30786228179931
7,0.261875003576278,3.73987793922424,0.00039577464,0.212750002741813,0.212750002741813,4.11922121047973
8,0.273554682731628,3.68707203865051,0.0003744345,0.226750001311302,0.226750001311302,3.99965000152587
9,0.278515636920928,3.66168308258056,0.00035309434,0.209099993109703,0.209099993109703,4.10954332351684
10,0.287109375,3.62054347991943,0.00033175416,0.228900000452995,0.228900000452995,3.98304605484008
11,0.290429681539535,3.58880543708801,0.000310414,0.232649996876716,0.232649996876716,3.93791246414184
12,0.296562492847442,3.53656077384948,0.00028907383,0.237250000238418,0.237250000238418,3.92149066925048
13,0.308164060115814,3.48400259017944,0.00026773367,0.258899986743927,0.258899986743927,3.76879382133483
14,0.311484366655349,3.45640683174133,0.00024639352,0.231049999594688,0.231049999594688,3.99099063873291
15,0.319023430347442,3.40077280998229,0.00022505334,0.276199996471405,0.276199996471405,3.6746928691864
16,0.329648435115814,3.35793423652648,0.00020371319,0.25900000333786,0.25900000333786,3.76130199432373
17,0.331250011920928,3.31869506835937,0.00018237303,0.284099996089935,0.284099996089935,3.60413432121276
18,0.3427734375,3.26884460449218,0.00016103286,0.293999999761581,0.293999999761581,3.55578708648681
19,0.348906248807907,3.23116588592529,0.0001396927,0.300599992275238,0.300599992275238,3.50586318969726
20,0.359179675579071,3.17710018157958,0.00011835254,0.318549990653991,0.318549990653991,3.39418601989746
21,0.366406261920928,3.12767481803894,0.00010149381,0.305649995803833,0.305649995803833,3.46026134490966
22,0.373515635728836,3.0997245311737,0.00011216389,0.329750001430511,0.329750001430511,3.33378291130065
23,0.374570310115814,3.08582615852355,0.00012283397,0.322100013494491,0.322100013494491,3.37148404121398
24,0.370390623807907,3.09972810745239,0.00013350406,0.33050000667572,0.33050000667572,3.3427550792694
